nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
Nome:_OLINDA_Codigo_Estacao:_82898,OLINDA,82898,-8.02,-34.85,55,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_OURICURI_Codigo_Estacao:_82753,OURICURI,82753,-7.87944443,-40.09194444,462.01,Operante,2000-01-01,2024-06-01,Mensal
Nome:_PESQUEIRA_Codigo_Estacao:_82892,PESQUEIRA,82892,-8.370701,-36.707812,643.38,Desativada,2000-01-01,2015-11-18,Mensal
Nome:_PETROLINA_Codigo_Estacao:_82983,PETROLINA,82983,-9.3886111,-40.52333332,372.54,Operante,2000-01-01,2024-06-01,Mensal
Nome:_RECIFE_(CURADO)_Codigo_Estacao:_82900,RECIFE (CURADO),82900,-8.05916666,-34.95916666,11.3,Fechada,2000-01-01,2020-08-31,Mensal
Nome:_SURUBIM_Codigo_Estacao:_82797,SURUBIM,82797,-7.839628,-35.801056,421.44,Operante,2000-01-01,2024-06-01,Mensal
Nome:_TAPACURA_Codigo_Estacao:_82897,TAPACURA,82897,-8.17,-35.18,102,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_TRIUNFO_Codigo_Estacao:_82789,TRIUNFO,82789,-7.82972221,-38.12222221,1105,Fechada,2000-01-01,2018-03-28,Mensal
Nome:_ALTO_LONGA_(PILOTO_DO_LONGA)_Codigo_Estacao:_82605,ALTO LONGA (PILOTO DO LONGA),82605,-5.2,-42.25,150,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_BOM_JESUS_DO_PIAUI_Codigo_Estacao:_82975,BOM JESUS DO PIAUI,82975,-9.07999999,-44.32777777,288,Fechada,2000-01-01,2023-07-30,Mensal
Nome:_CALDEIRAO_Codigo_Estacao:_82474,CALDEIRAO,82474,-4.328706,-41.721691,183.51,Desativada,2000-01-01,2015-02-26,Mensal
Nome:_CARACOL_Codigo_Estacao:_82976,CARACOL,82976,-9.28583333,-43.32444443,515.3,Fechada,2000-01-01,2021-07-31,Mensal
Nome:_ESPERANTINA_Codigo_Estacao:_82298,ESPERANTINA,82298,-3.9,-42.25944444,88,Desativada,2000-01-01,2018-11-19,Mensal
Nome:_FLORIANO_Codigo_Estacao:_82678,FLORIANO,82678,-6.76166666,-43.00333333,126.6,Operante,2000-01-01,2024-06-01,Mensal
Nome:_LUZILANDIA(LAG.DO_PIAUI)_Codigo_Estacao:_82296,LUZILANDIA(LAG.DO PIAUI),82296,-3.46972221,-42.26805554,44.13,Operante,2000-01-01,2024-06-01,Mensal
Nome:_MORRO_DOS_CAVALOS_Codigo_Estacao:_82684,MORRO DOS CAVALOS,82684,-7.85,-41.9,242,Fechada,2000-01-01,2015-02-24,Mensal
Nome:_PARNAIBA_Codigo_Estacao:_82287,PARNAIBA,82287,-3.08668,-41.783139,52.11,Desativada,2000-01-01,2018-09-30,Mensal
Nome:_PAULISTANA_Codigo_Estacao:_82882,PAULISTANA,82882,-8.13222221,-41.14305555,376,Operante,2000-01-01,2024-06-01,Mensal
Nome:_PICOS_Codigo_Estacao:_82780,PICOS,82780,-7.08083332,-41.43499999,210.07,Fechada,2000-01-01,2022-10-03,Mensal
Nome:_PIRIPIRI_Codigo_Estacao:_82480,PIRIPIRI,82480,-4.2761111,-41.79444444,157.89,Fechada,2000-01-01,2021-07-31,Mensal
Nome:_SAO_JOAO_DO_PIAUI_Codigo_Estacao:_82879,SAO JOAO DO PIAUI,82879,-8.365,-42.25027777,237.02,Operante,2000-01-01,2024-06-01,Mensal
Nome:_TERESINA_Codigo_Estacao:_82578,TERESINA,82578,-5.03472221,-42.80138888,75.73,Operante,2000-01-01,2024-06-01,Mensal
Nome:_VALE_DO_GURGUEIA_(CRISTIANO_CASTRO)_Codigo_Estacao:_82870,VALE DO GURGUEIA (CRISTIANO CASTRO),82870,-8.44166666,-43.86555555,261.26,Fechada,2000-01-01,2018-06-30,Mensal
Nome:_APODI_Codigo_Estacao:_82590,APODI,82590,-5.62666666,-37.815,131.37,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CEARA_MIRIM_Codigo_Estacao:_82596,CEARA MIRIM,82596,-5.65333333,-35.42583332,62.2,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CRUZETA_Codigo_Estacao:_82693,CRUZETA,82693,-6.42638888,-36.79138888,226.33,Fechada,2000-01-01,2021-07-31,Mensal
Nome:_FLORANIA_Codigo_Estacao:_82691,FLORANIA,82691,-6.12388888,-36.81194444,324.45,Desativada,2000-01-01,2018-05-31,Mensal
Nome:_MACAIBA_Codigo_Estacao:_82597,MACAIBA,82597,-5.81999999,-35.32999999,24,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_MACAU_Codigo_Estacao:_82594,MACAU,82594,-5.15103,-36.573131,17.34,Desativada,2000-01-01,2018-07-31,Mensal
Nome:_MOSSORO_Codigo_Estacao:_82591,MOSSORO,82591,-5.213412,-37.312164,37.99,Desativada,2000-01-01,2008-10-01,Mensal
Nome:_NATAL_Codigo_Estacao:_82598,NATAL,82598,-5.83722221,-35.20777777,47.68,Operante,2000-01-01,2024-06-01,Mensal
Nome:_NOVA_CRUZ_Codigo_Estacao:_82698,NOVA CRUZ,82698,-6.41999999,-35.4,89,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_SERIDO_(CAICO)_Codigo_Estacao:_82690,SERIDO (CAICO),82690,-6.46749999,-37.08499999,171.26,Operante,2000-01-01,2024-06-01,Mensal
Nome:_ARACAJU_Codigo_Estacao:_83096,ARACAJU,83096,-10.9525,-37.05444444,3.68,Fechada,2000-01-01,2020-12-31,Mensal
Nome:_ITABAIANINHA_Codigo_Estacao:_83195,ITABAIANINHA,83195,-11.27222221,-37.79499999,205.59,Temporariamente Fechada,2000-01-01,2024-06-01,Mensal
Nome:_PROPRIA_Codigo_Estacao:_83097,PROPRIA,83097,-10.21388888,-36.84222221,18.46,Operante,2000-01-01,2024-06-01,Mensal
