nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao,P1,P2,P3,K1,K2,K3,S1,S2,S3
Nome:_CAMPOS_SALES_Codigo_Estacao:_82777,CAMPOS SALES,82777,-7.07666666,-40.38999999,586.06,Fechada,2000-01-01,2019-03-31,Mensal,-0.781587509476348,-0.4579641944371252,0.7572180093665721,-0.5151515151515151,-0.2121212121212121,0.4545454545454545,-0.7132867132867133,-0.2727272727272727,0.6993006993006993
Nome:_CRATEUS_Codigo_Estacao:_82583,CRATEUS,82583,-5.19055555,-40.6736111,299.12,Desativada,2000-01-01,2018-04-29,Mensal,-0.8715980001218057,-0.8899277809967013,0.9002991388136777,-0.7575757575757575,-0.8181818181818181,0.7575757575757575,-0.9090909090909091,-0.9440559440559441,0.9090909090909091
Nome:_FORTALEZA_Codigo_Estacao:_82397,FORTALEZA,82397,-3.81527777,-38.53777777,29.89,Operante,2000-01-01,2024-06-01,Mensal,-0.9621130031753573,-0.9503960889246702,0.9689002541791872,-0.8787878787878787,-0.9393939393939392,0.8787878787878787,-0.965034965034965,-0.986013986013986,0.965034965034965
Nome:_GUARAMIRANGA_Codigo_Estacao:_82487,GUARAMIRANGA,82487,-4.26138888,-38.9311111,865.44,Fechada,2000-01-01,2019-08-30,Mensal,-0.38995269843601027,-0.33666216288189355,-0.5441494833304171,-0.303030303030303,-0.1515151515151515,-0.5454545454545454,-0.4125874125874126,-0.16783216783216784,-0.7272727272727273
Nome:_IGUATU_Codigo_Estacao:_82686,IGUATU,82686,-6.39638888,-39.26888888,221.58,Fechada,2000-01-01,2021-07-31,Mensal,-0.4483086839184553,-0.49070369546403236,0.3001897154984286,-0.303030303030303,0.0909090909090909,0.1818181818181818,-0.4195804195804196,0.08391608391608392,0.2867132867132867
Nome:_JAGUARUANA_Codigo_Estacao:_82493,JAGUARUANA,82493,-4.85361111,-37.77722221,16.57,Fechada,2000-01-01,2019-04-30,Mensal,-0.5619659430906374,-0.012696954956325536,-0.39094251606799524,-0.4242424242424242,0.0,-0.3333333333333333,-0.5524475524475524,-0.04195804195804196,-0.45454545454545453
Nome:_JUAZEIRO_DO_NORTE_Codigo_Estacao:_82785,JUAZEIRO DO NORTE,82785,-7.2,-39.32,415.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_MORADA_NOVA_Codigo_Estacao:_82588,MORADA NOVA,82588,-5.13666666,-38.35666666,43.62,Operante,2000-01-01,2024-06-01,Mensal,-0.5608056375250289,0.40321677655760985,-0.5428378830326818,-0.3333333333333333,0.0606060606060606,-0.3636363636363636,-0.48951048951048953,0.13986013986013987,-0.6433566433566433
Nome:_QUIXADA_Codigo_Estacao:_82486,QUIXADA,82486,-4.96999999,-39.01999999,180.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_QUIXERAMOBIM_Codigo_Estacao:_82586,QUIXERAMOBIM,82586,-5.17305554,-39.28722221,227.33,Operante,2000-01-01,2024-06-01,Mensal,-0.9172834885029547,-0.7844512754206058,0.7381676111155205,-0.8181818181818181,-0.606060606060606,0.4848484848484848,-0.9370629370629371,-0.7762237762237763,0.6643356643356644
